terrain,inc_time_d,compound,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,n_overlapping,n_matches,f_label,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,at2H_weighted,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num,u_d_weighted,gen_d_weighted
Gordon Gulch Conifer Forest,7,18:1 cis,49.333333333333336,0,2523.81435742188,2558.717358072917,2565.68397916667,1061.64726292322,1733.44695473665,362.075507627621,162.481558106496,362.075507627621,162.481558106496,24028.5423390409,32735.1119518592,1.1084304472473179,3156.90263335363,2200.81502768229,2200.81502768229,0.0498260093560936,1.6666666666666667,1.6666666666666667,0.5,0.0136459164806039,-123.738115884007,13712.0600537114,NA,NA,NA,NA,NA,NA,NA,0.0805187532876728,0.5,0,0.0136459164806039,7,0.0498260093560936,0.02373487041962741,29.203748253318935,C18,18,0.048454773857341135,16.67505012464594
Gordon Gulch Conifer Forest,7,18:1 trans,33.5,0,2527.437,2570.8045,2580.0005,1195.55574585972,2566.17798976124,287.106538537511,165.335986520391,287.106538537511,165.335986520391,28829.88771737,47935.8387292125,2.1924814183314787,7221.03964610676,5330.20052750221,5330.20052750221,0.0984870024429291,1,2,0.5,0.0138826966888311,-108.531348372266,15945.4333417767,NA,NA,NA,NA,NA,NA,NA,0.0805187532876728,0.5,0,0.0138826966888311,7,0.0984870024429291,0.0633796165345018,10.936436956550825,C18,18,0.048454773857341135,16.67505012464594
Gordon Gulch Conifer Forest,7,18:2,48.666666666666664,0,2508.13934895833,2541.648974609375,2550.28770638021,852.517566399994,1312.16300319909,272.700314186928,110.450935234639,272.700314186928,110.450935234639,20433.5047898428,27925.1974561777,0.8064961644658396,2024.73101835437,1329.04288413287,1329.04288413287,0.03625635696176,1.6666666666666667,1.6666666666666667,0.5,0.0135716440031417,-128.508110721507,8064.72345813605,NA,NA,NA,NA,NA,NA,NA,0.0805187532876728,0.5,0,0.0135716440031417,7,0.03625635696176,0.014409694337321914,48.102837182649694,C18,18,0.048454773857341135,16.67505012464594
Gordon Gulch Conifer Forest,7,a-15:0,19,0,1743.269,1756.018,1760.825,444.199338527859,619.245020588399,264.200883288457,145.329794981488,264.200883288457,145.329794981488,2882.58234014399,4485.05590822957,1.555915973593848,4836.12091785087,3493.81310674517,3493.81310674517,0.0699421858049735,1,1,0.5,0.013312885514746,-145.12584559035,3676.75688860711,3,12.375,0.2642159883333344,8.419773830508474,0.4403387538913784,0.8052547851118412,NA,0.0805187532876728,0.5,0,0.013312885514746,7,0.0699421858049735,0.039065869653771006,17.74303725228951,C15,15,0.048454773857341135,16.67505012464594
Gordon Gulch Conifer Forest,7,i-15:0,18,0,1723.414,1735.536,1742.433,518.627912979631,1273.74677354428,235.288511391015,99.2380095191604,235.288511391015,99.2380095191604,3619.84303352141,10142.4243831263,2.8018961842275574,9509.69667253093,7092.46643784882,7092.46643784882,0.125881503515051,1,1,0.5,0.0148790289965087,-44.5429047339153,2808.48925002031,2,12.246666666666666,0.3189883400000011,10.366428266666663,0.5316216063513615,0.991429952192417,NA,0.0805187532876728,0.5,0,0.0148790289965087,7,0.125881503515051,0.0912662036878515,7.594784844241423,C15,15,0.048454773857341135,16.67505012464594
Gordon Gulch Conifer Forest,7,i-17:0,35,0,2253.02,2262.843,2271.203,301.398051819286,725.3127161428,275.328346309513,129.493660269753,275.328346309513,129.493660269753,2006.3225140117,5219.87487423588,2.6017127544457366,8758.82405358205,6514.29452125818,6514.29452125818,0.116898325053522,1,1,0.5,0.015907727657855,21.5254475721235,1131.72871181198,9,15.626666666666667,0.08043641833333376,2.5310819999999996,0.1340542350968592,0.24206895969405906,NA,0.0805187532876728,0.5,0,0.015907727657855,7,0.116898325053522,0.08065743634819114,8.593716983114726,C17,17,0.048454773857341135,16.67505012464594
Marshall Mesa Grassland,0,16:0,22,0,2084.984,2109.3325,2125.321,1472.80586136264,390.548760811965,249.421710092036,90.0135375481168,249.421710092036,90.0135375481168,19548.9099397851,6069.39669995934,0.3104373951222247,164.152115591148,-103.602870994816,-103.602870994816,0.0139594363513116,1,1,0.5,0.0139594363513116,-103.602870994816,19548.9099397851,8.5,14.599166666666665,3.9810129454166594,105.08216389194712,5.8311942800292975,8.124027738122908,NA,0.0140713650744286,0.5,0,0.0139594363513116,0,0.0139594363513116,NA,NA,C16,16,0,0
Marshall Mesa Grassland,0,16:1 cis,20,0,2025.837,2040.1535,2052.38,775.750097969736,201.317597053133,279.578345296547,100.126103594986,279.578345296547,100.126103594986,7222.42730181065,2179.89715396521,0.30148310446557014,130.553658945709,-129.473682611804,-129.473682611804,0.0135566089459725,1,1,0.5,0.0135566089459725,-129.473682611804,7222.42730181065,NA,NA,NA,NA,NA,NA,NA,0.0140713650744286,0.5,0,0.0135566089459725,0,0.0135566089459725,NA,NA,C16,16,0,0
Marshall Mesa Grassland,0,16:1 trans,21,0,2052.9025,2064.084,2079.0275,540.684160428644,145.387179652138,271.064656206919,96.3445290171452,271.064656206919,96.3445290171452,3990.51786349768,1214.51260447807,0.30427198593002824,141.023596630779,-121.4118305943,-121.4118305943,0.0136821384563051,1,1,0.5,0.0136821384563051,-121.4118305943,3990.51786349768,NA,NA,NA,NA,NA,NA,NA,0.0140713650744286,0.5,0,0.0136821384563051,0,0.0136821384563051,NA,NA,C16,16,0,0
Marshall Mesa Grassland,0,17:0 cyclo,29.5,0,2301.6125,2318.228,2327.424,622.956358464118,161.363485526387,258.995254478184,92.5569666828368,258.995254478184,92.5569666828368,5768.64462948397,1741.06268265289,0.3019645942212827,132.412693828418,-128.042225752118,-128.042225752118,0.013578898189272,1,1,0.5,0.013578898189272,-128.042225752118,5768.64462948397,14.5,16.024166666666666,1.1204217691666725,29.269283280929596,1.6415132917938895,2.2601935748987345,NA,0.0140713650744286,0.5,0,0.013578898189272,0,0.013578898189272,NA,NA,C17,17,0,0
