file_id,Analysis,compound,peak_info,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,sample_id,n_overlapping,n_matches,is_identified,is_missing,is_ambiguous,inc_time_d,inc_time_d_str,f_label,t_series_id,soil_id,replicate_id,terrain,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,file,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,chain,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,18:2,18:2 (2482),30,0,2472.679,2481.875,2489.817,199.830341837459,71.0060120196827,264.154253331198,100.264707677285,264.154253331198,100.264707677285,1420.27082968509,526.718862159541,0.3708580442198666,385.126667425766,66.5475339178399,66.5475339178399,0.0166087188871128,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0137760154892704,-115.382703377304,3051.03439419107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0137760154892704,3,0.0166087188871128,0.004021359556159434,172.36637780828772,C18,18
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,18:1 cis,18:1 cis (2507),31,0,2490.653,2507.373,2513.643,534.877665392251,226.524489187916,276.894860864326,102.968990710941,276.894860864326,102.968990710941,5609.81277600187,2654.50690943732,0.473189929045938,767.324756084102,360.840062184759,360.840062184759,0.0211905926046316,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0145100263461861,-68.2418889616965,8435.36683245754,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0145100263461861,3,0.0211905926046316,0.00959298764427981,72.2556106880072,C18,18
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,18:1 trans,18:1 trans (2531),32,0,2513.643,2531.199,2542.276,1073.44798058515,688.942109235708,386.12928812215,197.548899942022,386.12928812215,197.548899942022,13313.8054079869,9919.00632514923,0.7450166215587641,1782.56918554332,1142.57827286836,1142.57827286836,0.0333595243076246,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.012979865758869,-166.513573093026,17275.6915219693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.012979865758869,3,0.0333595243076246,0.02996863554520062,23.129087058851784,C18,18
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,18:0,18:0 (2578),34,0,2564.848,2578.224,2584.494,423.771304143118,267.533716263556,258.425145201948,99.7055817430171,258.425145201948,99.7055817430171,2961.03670319451,2234.8058458247,0.7547376374678787,1818.86529316845,1170.5262757397,1170.5262757397,0.0337945221864729,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0148571379406509,-45.9489064895411,3621.04516356092,FID0168_t0f3x_100ul-nhex.xls,23,17.996666666666666,3.727457284598554,87.28688667883212,2.7091373830000323,3.1758261613200105,NA,C18,0.5,0,0.0148571379406509,3,0.0337945221864729,0.027988003806091642,24.765867025110254,C18,18
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,i-15:0,i-15:0 (1702),17,0,1687.884,1702.096,1708.157,679.529551687994,624.908779989715,226.918086579996,90.5911536213867,226.918086579996,90.5911536213867,5350.78259041534,5864.16967916329,1.0959461686347638,3094.45699872754,2152.7318890202,2152.7318890202,0.049079699174573,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0146749677396367,-57.6486668793579,5235.65050049662,FID0171_t0f7x_100ul-nhex.xls,4,12.278333333333334,7.091618986666651,184.85393488311686,4.85346064349989,6.223403314386312,NA,C15,0.5,0,0.0146749677396367,7,0.049079699174573,0.02257990834303872,30.697519672334685,C15,15
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,a-15:0,a-15:0 (1722),18,0,1708.157,1721.742,1728.221,553.546873124875,317.30866851657,268.870699114631,115.314515798474,268.870699114631,115.314515798474,4175.66426055372,2808.71554816626,0.6726392192732963,1512.97690474267,934.992216651858,934.992216651858,0.0301284238194869,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0141879614694216,-88.9260831848606,4073.44261012497,FID0171_t0f7x_100ul-nhex.xls,5,12.405,4.812288689166649,138.47865458510637,3.2935009342638684,4.662105345291296,NA,C15,0.5,0,0.0141879614694216,7,0.0301284238194869,0.00999877278797791,69.32322548556712,C15,15
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,i-16:0,i-16:0 (1962),21,0,1951.015,1961.883,1968.78,351.594437302577,202.631765405704,239.644265421726,93.6833237880236,239.644265421726,93.6833237880236,2410.5905886685,1563.229120489,0.6484838727228466,1422.67943843498,865.463167594935,865.463167594935,0.0290461495959535,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0144299200803822,-73.3866285742175,2945.06646808428,FID0171_t0f7x_100ul-nhex.xls,10,13.94,2.778229028333338,71.81267458823531,1.9014029480428747,2.4176885243473794,NA,C16,0.5,0,0.0144299200803822,7,0.0290461495959535,0.009150655779247422,75.74836135044212,C16,16
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,16:1 cis,16:1 cis (2005),22,0,1989.471,2004.728,2016.432,719.836064925908,367.172105522183,263.278713534491,114.546394200284,263.278713534491,114.546394200284,7091.66852667687,4150.3140130898,0.5852380152114379,1186.38983967688,683.520176551201,683.520176551201,0.0262139532345231,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0135800168738151,-127.970353710304,8893.48285353113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0135800168738151,7,0.0262139532345231,0.007845623701181576,88.34825718897977,C16,16
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,16:1 trans,16:1 trans (2026),23,0,2016.432,2026.255,2035.242,345.009640342141,157.623502948072,258.017103535602,103.857251386679,258.017103535602,103.857251386679,2322.13037125122,1096.09999437947,0.47202345223574593,763.428248818396,357.839751590165,357.839751590165,0.0211438825478585,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0136578852745407,-122.969378748837,3327.5005761333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0136578852745407,7,0.0211438825478585,0.0045981279948955145,150.74551672537686,C16,16
BF10901__t0f7x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10901,16:0,16:0 (2072),24,0,2048.618,2072.026,2088.119,1230.25955286364,978.160192183438,240.490678781533,98.7310334307383,240.490678781533,98.7310334307383,15347.4351416188,14799.3103581414,0.9642855774649294,2602.45089802473,1773.88719147904,1773.88719147904,0.0431846358225376,t0f7x,1,1,TRUE,FALSE,FALSE,7,7 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0138716862868682,-109.238464567178,17645.9486401328,FID0171_t0f7x_100ul-nhex.xls,13,14.623333333333333,15.884309248333336,296.9876355555556,10.871124059388364,9.998563658473714,NA,C16,0.5,0,0.0138716862868682,7,0.0431846358225376,0.01893556067298167,36.605579973608435,C16,16
