#Exported for mctoolsr																								
#ASV_ID	Blank25	Blank29	CRCcr0	CRCcr0b	CRCcr0c	GGc0	GGc0b	GGc0c	GGm0	GGm0b	GGm0c	GGm3	GGm3b	GGm3c	MMg0	MMg0b	MMg0c	NRt0-diluted	NRt0	NRt0b-diluted	NRt0b	NRt0c-diluted	NRt0c	taxonomy
ASV_45	0	0	423	741	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Coleofasciculaceae;Symplocastrum_CPER-KK1;ASV_45
ASV_419	0	0	0	0	0	0	0	0	300	299	242	0	0	0	76	110	60	94	0	100	18	136	33	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;JGI_0001001-H03;ASV_419
ASV_422	0	0	0	0	0	0	0	0	153	156	83	0	0	0	77	35	38	419	0	216	0	282	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_422
ASV_426	0	0	0	0	0	373	328	355	0	0	0	0	0	0	0	0	0	136	0	121	12	127	0	Bacteria;Proteobacteria;Gammaproteobacteria;WD260;NA;NA;ASV_426
ASV_430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	314	24	616	56	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_430
ASV_16	0	0	1095	136	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;NA;ASV_16
ASV_434	0	0	0	0	0	119	56	61	352	250	238	52	29	32	0	0	0	85	0	52	0	94	0	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4_lineage;ASV_434
ASV_449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	348	25	514	49	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_449
ASV_452	0	0	0	0	0	55	48	0	0	0	0	0	0	0	0	0	0	354	0	293	72	408	118	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_452
ASV_3	0	0	517	415	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;NA;NA;ASV_3
ASV_455	0	0	0	0	0	257	250	184	19	0	0	160	135	131	0	0	0	63	0	36	15	56	26	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_455
ASV_198	0	0	0	0	0	0	0	0	207	259	107	0	0	0	113	44	0	219	0	135	0	199	32	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus_Nitrocosmicus;ASV_198
ASV_48	0	0	785	224	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus_SAG_1449-1a;ASV_48
ASV_142	0	0	322	415	327	0	0	0	0	0	0	0	0	0	0	0	0	85	0	68	0	79	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;Blastocatella;ASV_142
ASV_463	0	0	0	0	0	0	0	0	35	79	30	0	0	0	745	209	168	14	0	0	0	0	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_463
ASV_467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	394	322	5	0	0	0	0	0	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;NA;ASV_467
ASV_11	0	0	386	446	420	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;NA;ASV_11
ASV_474	0	0	0	0	0	383	412	248	0	0	0	0	23	29	0	0	0	63	0	45	14	44	0	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;NA;NA;ASV_474
ASV_249	0	0	0	0	0	60	36	0	212	236	168	0	37	50	128	134	111	0	0	0	0	84	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_249
ASV_480	0	0	0	0	0	0	0	0	66	76	48	379	280	326	19	0	11	11	0	9	0	20	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_480
ASV_492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	396	286	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;NA;ASV_492
ASV_494	0	0	0	0	0	0	0	0	0	23	0	0	0	0	544	298	299	26	0	0	0	15	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_494
ASV_491	0	0	0	0	0	128	124	110	86	75	81	0	21	0	171	151	117	76	0	59	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;TRA3-20;NA;ASV_491
ASV_428	0	0	695	207	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Tychonema_CCAP_1459-11B;ASV_428
ASV_199	0	0	44	59	54	34	0	0	133	110	114	0	0	0	166	112	105	77	0	74	0	100	0	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA;ASV_199
ASV_276	0	0	0	0	0	0	0	0	231	283	120	196	103	141	39	0	0	27	0	7	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;ASV_276
ASV_21	0	0	248	344	343	0	0	0	40	27	24	24	0	0	0	0	0	0	0	39	0	49	0	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Ellin6055;ASV_21
ASV_5	0	0	305	389	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;ASV_5
ASV_518	0	0	0	0	0	86	75	0	91	64	73	91	56	36	0	0	0	179	0	140	42	129	38	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_518
ASV_532	0	0	0	0	0	53	60	56	0	44	0	124	71	68	0	0	0	195	0	179	13	205	23	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);11-24;NA;NA;ASV_532
ASV_535	0	0	0	0	0	164	126	70	87	63	24	0	0	0	0	0	0	130	4	174	40	135	70	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_535
ASV_6	0	0	249	268	233	0	0	0	0	15	0	0	0	0	0	0	10	101	0	72	0	128	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;Blastocatella;ASV_6
ASV_107	0	0	269	403	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Ellin6055;ASV_107
ASV_10	0	0	158	262	279	0	0	0	0	61	24	0	0	0	98	96	57	0	0	0	0	37	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_10
