"","sample","file","No.","Peak Name","Retention Time","Area","Height","Relative Area","Relative Height","Amount","group","inc_time","site"
"50","cri3","FID0212_cri3_100ul-nhex.xls",16,"18:1 trans 9",17.635,29.5180005949334,380.94357076,17.8585666102174,13.9766183115504,NA,"C18",3,"intact biocrust"
"51","cri3","FID0212_cri3_100ul-nhex.xls",17,"18:1 cis 9",17.7383333333333,19.4526955967333,327.29588572,11.7689969869495,12.0083130961442,NA,"C18",3,"intact biocrust"
"52","cri3","FID0212_cri3_100ul-nhex.xls",18,"18:0",18.01,1.60452037166667,40.7458853870968,0.970744405357134,1.49494500375862,NA,"C18",3,"intact biocrust"
"53","cri3","FID0212_cri3_100ul-nhex.xls",19,"PAIBE",18.3916666666667,19.4377578608334,294.197274528302,11.7599595675377,10.7939425416134,NA,"CNA",3,"intact biocrust"
"54","cri3","FID0212_cri3_100ul-nhex.xls",20,"19:1",19.4183333333333,0.23301434,6.37837829268293,0.140975067015214,0.234019329071896,NA,"C19",3,"intact biocrust"
"55","cri3","FID0212_cri3_100ul-nhex.xls",21,"20:4 cis 5, 8, 11, 14",20.1116666666667,1.83666956750001,43.8789382692308,1.11119605498579,1.60989505842453,NA,"C20",3,"intact biocrust"
"56","cri3","FID0212_cri3_100ul-nhex.xls",22,"20:5 cis 5, 8, 11, 14, 17",20.2183333333333,2.0810184325,51.2648321612903,1.25902857730379,1.88087960244237,NA,"C20",3,"intact biocrust"
"57","cri3","FID0212_cri3_100ul-nhex.xls",23,"20:3 cis 11, 14, 17",20.415,0.652383063333333,16.1284230612245,0.394695648658392,0.591743319474368,NA,"C20",3,"intact biocrust"
"58","cri3","FID0212_cri3_100ul-nhex.xls",NA,"20:2 cis 11,14",NA,NA,NA,NA,NA,NA,"C20",3,"intact biocrust"
"59","cri3","FID0212_cri3_100ul-nhex.xls",24,"20:1 cis 11",20.8533333333333,0.60419914666667,15.8718769333333,0.365544091371667,0.582330777607111,NA,"C20",3,"intact biocrust"
"60","cri3","FID0212_cri3_100ul-nhex.xls",NA,"20:0",NA,NA,NA,NA,NA,NA,"C20",3,"intact biocrust"
"61","cri3","FID0212_cri3_100ul-nhex.xls",25,"21:0 (STD)",22.9816666666667,14.1723484716667,188.519986610063,8.57435544763541,6.91669869028303,NA,"C21",3,"intact biocrust"
"62","cri3","FID0212_cri3_100ul-nhex.xls",NA,"22:6 cis 4, 7, 10, 13, 16, 19",NA,NA,NA,NA,NA,NA,"C22",3,"intact biocrust"
"63","cri3","FID0212_cri3_100ul-nhex.xls",NA,"22:2 cis 13, 16",NA,NA,NA,NA,NA,NA,"C22",3,"intact biocrust"
"64","cri3","FID0212_cri3_100ul-nhex.xls",NA,"22:1 cis 13",NA,NA,NA,NA,NA,NA,"C22",3,"intact biocrust"
"65","cri3","FID0212_cri3_100ul-nhex.xls",26,"22:0",24.415,0.159655031666667,3.8120734,0.0965922474493389,0.13986295865584,NA,"C22",3,"intact biocrust"
"66","cri3","FID0212_cri3_100ul-nhex.xls",27,"23:0 (STD)",25.9616666666667,4.66980645666666,75.772211553719,2.82526078942892,2.78004240206901,NA,"C23",3,"intact biocrust"
"67","cri3","FID0212_cri3_100ul-nhex.xls",NA,"24:1 cis 15",NA,NA,NA,NA,NA,NA,"C24",3,"intact biocrust"
